"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Authentication","1","0","Successful login","0"
"0","","0","Inventory","4","0","Sorting","0"
"0","","0","Checkout","3","0","Required field validation","0"
"0","","0","API - Todos","1","0","List todos","0"
"0","","0","API - Posts","1","0","Create post","0"
"0","","0","API - Users","1","0","Get single user","0"
"0","","0","Inventory","1","0","Cart badge","0"
"0","","0","Cart","1","0","Continue shopping","0"
"0","","0","Authentication","3","0","Invalid credentials","0"
"0","","0","API - Posts","1","0","Partial update post","0"
"0","","0","Checkout","1","0","Order total math","0"
"0","","0","API - Posts","1","0","Get single post","0"
"0","","0","Cart","1","0","Empty cart","0"
"0","","0","API - Posts","1","0","Delete post","0"
"0","","0","Checkout","1","0","Happy path purchase","0"
"0","","0","API - Users","1","0","User's todos","0"
"0","","0","Cart","1","0","Remove from cart","0"
"0","","0","API - Posts","1","0","Update post","0"
"0","","0","API - Posts","1","0","List posts","0"
"0","","0","API - Posts","1","0","Get nonexistent post","0"
"0","","0","API - Users","1","0","Get nonexistent user","0"
"0","","0","Authentication","1","0","Required field validation","0"
"0","","0","Authentication","1","0","Error dismissal","0"
"0","","0","API - Todos","1","0","Create todo","0"
"0","","0","Authentication","1","0","Locked out user","0"
"0","","0","API - Posts","1","0","Filter posts by user","0"
"0","","0","Authentication","1","0","Performance glitch user","0"
"0","","0","API - Posts","1","0","Nested comments","0"
"0","","0","Inventory","1","0","Logout","0"
"0","","0","Checkout","1","0","Back to products","0"
"0","","0","API - Todos","1","0","Completed todos filter","0"
"0","","0","API - Users","1","0","Email format sanity check","0"
"0","","0","Cart","1","0","Add and view cart","0"
"0","","0","API - Users","1","0","List users","0"
"0","","0","Inventory","1","0","Product listing","0"
