"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29","test_sort_by_name_a_to_z[chromium]","tests.ui","2026-08-03","passed","2026-08-03","TestInventory","test_inventory","",""
"","5272","test_performance_glitch_user_eventually_logs_in[chromium]","tests.ui","2026-08-03","passed","2026-08-03","TestLogin","test_login","",""
"","29","test_sort_by_name_z_to_a[chromium]","tests.ui","2026-08-03","passed","2026-08-03","TestInventory","test_inventory","",""
"","77","test_create_todo_returns_201[chromium]","tests.api","2026-08-03","passed","2026-08-03","TestTodosAPI","test_jsonplaceholder_api","",""
"","10","test_get_all_todos_returns_200[chromium]","tests.api","2026-08-03","passed","2026-08-03","TestTodosAPI","test_jsonplaceholder_api","",""
"","201","test_checkout_requires_all_fields[chromium-missing-first-name]","tests.ui","2026-08-03","passed","2026-08-03","TestCheckout","test_checkout","",""
"","10","test_get_all_users_returns_200_and_list[chromium]","tests.api","2026-08-03","passed","2026-08-03","TestUsersAPI","test_jsonplaceholder_api","",""
"","34","test_sort_by_price_low_to_high[chromium]","tests.ui","2026-08-03","passed","2026-08-03","TestInventory","test_inventory","",""
"","16","test_get_todos_for_a_user[chromium]","tests.api","2026-08-03","passed","2026-08-03","TestUsersAPI","test_jsonplaceholder_api","",""
"","93","test_cart_badge_updates_on_add[chromium]","tests.ui","2026-08-03","passed","2026-08-03","TestInventory","test_inventory","",""
"","11","test_get_nonexistent_user_returns_404[chromium]","tests.api","2026-08-03","passed","2026-08-03","TestUsersAPI","test_jsonplaceholder_api","",""
"","231","test_invalid_login_combinations[chromium-blank-username]","tests.ui","2026-08-03","passed","2026-08-03","TestLogin","test_login","",""
"","240","test_invalid_login_combinations[chromium-wrong-password]","tests.ui","2026-08-03","passed","2026-08-03","TestLogin","test_login","",""
"","33","test_cart_is_empty_by_default[chromium]","tests.ui","2026-08-03","passed","2026-08-03","TestCart","test_cart","",""
"","199","test_create_post_returns_201[chromium]","tests.api","2026-08-03","passed","2026-08-03","TestPostsAPI","test_jsonplaceholder_api","",""
"","202","test_update_post_returns_200[chromium]","tests.api","2026-08-03","passed","2026-08-03","TestPostsAPI","test_jsonplaceholder_api","",""
"","237","test_invalid_login_combinations[chromium-unknown-username]","tests.ui","2026-08-03","passed","2026-08-03","TestLogin","test_login","",""
"","11","test_get_comments_for_a_post[chromium]","tests.api","2026-08-03","passed","2026-08-03","TestPostsAPI","test_jsonplaceholder_api","",""
"","238","test_locked_out_user_sees_error[chromium]","tests.ui","2026-08-03","passed","2026-08-03","TestLogin","test_login","",""
"","200","test_checkout_requires_all_fields[chromium-missing-last-name]","tests.ui","2026-08-03","passed","2026-08-03","TestCheckout","test_checkout","",""
